release_order,current_path,proposed_release_path,workflow,status,tracked_in_initial_repository,file_size_bytes,generating_script,manuscript_use,zenodo_recommendation,recommendation_reason,dependencies,hard_coded_path_risk
1,code/m_stir_mogp_v2p1.stan,code/bayes/m_stir_mogp_v2p1.stan,Bayes,final,True,17497,See workflow documentation,Bayes methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",R; R Markdown; CmdStanR/CmdStan as applicable; see Bayesian workflow,low: data/result path is consumed by scripts or manifests
2,code/stir-bayes-backend.R,code/bayes/stir-bayes-backend.R,Bayes,active,True,16706,See workflow documentation,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",R; R Markdown; CmdStanR/CmdStan as applicable; see Bayesian workflow,high: update relative input/output references before moving
3,code/stir-bayes-load1p8.Rmd,code/bayes/stir-bayes-load1p8.Rmd,Bayes,active,True,151599,See workflow documentation,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",R; R Markdown; CmdStanR/CmdStan as applicable; see Bayesian workflow,high: update relative input/output references before moving
4,code/stir-bayes-load1p8_nonneg.Rmd,code/bayes/stir-bayes-load1p8_nonneg.Rmd,Bayes,active,True,162617,See workflow documentation,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",R; R Markdown; CmdStanR/CmdStan as applicable; see Bayesian workflow,high: update relative input/output references before moving
5,code/stir-bayes-load2p1_nonneg.Rmd,code/bayes/stir-bayes-load2p1_nonneg.Rmd,Bayes,active,True,197733,See workflow documentation,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",R; R Markdown; CmdStanR/CmdStan as applicable; see Bayesian workflow,high: update relative input/output references before moving
6,code/stir_bayes_backend.py,code/bayes/stir_bayes_backend.py,Bayes,active,True,12234,See workflow documentation,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Python; see workflow README and environment metadata,high: update relative input/output references before moving
7,docs/bayes-model_versions.md,docs/bayes-model_versions.md,Bayes,active,True,7307,Manually maintained documentation/metadata,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,medium: update links and documented commands after moving
8,docs/README_bayes_methods.md,docs/methods/README_bayes_methods.md,Bayes,active,True,9474,Manually maintained documentation/metadata,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,medium: update links and documented commands after moving
9,docs/README_bayes_methods_v2p1_notes.md,docs/methods/README_bayes_methods_v2p1_notes.md,Bayes,final,True,5152,Manually maintained documentation/metadata,Bayes methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,medium: update links and documented commands after moving
10,docs/workflows/bayes.md,docs/reproducibility/bayes.md,Bayes,active,False,1862,Manually maintained documentation/metadata,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,medium: update links and documented commands after moving
11,out/annual_load_draws_bayes_v2p1.csv,results/bayes/v2p1/annual_load_draws_bayes_v2p1.csv,Bayes,final,True,13678775,code/stir-bayes-load2p1_nonneg.Rmd,Bayes methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
12,out/annual_load_summary_bayes_plus_observed_v2p1.csv,results/bayes/v2p1/annual_load_summary_bayes_plus_observed_v2p1.csv,Bayes,final,True,130871,code/stir-bayes-load2p1_nonneg.Rmd,Bayes methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
13,out/annual_load_summary_bayes_v2p1.csv,results/bayes/v2p1/annual_load_summary_bayes_v2p1.csv,Bayes,final,True,90930,code/stir-bayes-load2p1_nonneg.Rmd,Bayes methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
14,code/annual_load_bayes_vs_ml.py,code/comparison/annual_load_bayes_vs_ml.py,comparison,active,True,68231,See workflow documentation,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Python; see workflow README and environment metadata,high: update relative input/output references before moving
