draw,draw_id,Year,analyte,treatment,volume_L,conc_fw_mg_L,load_g
1,1017,2011,NH4,CT,369831.29023435304,0.15568814204691775,57.57834644740082
2,3908,2011,NH4,CT,372481.2314787301,0.1065370850888249,39.68306465203975
3,679,2011,NH4,CT,363221.0466353736,-0.007196599069040476,-2.6139562460720374
4,2177,2011,NH4,CT,368275.47981389443,0.1581092877851299,58.22777382210183
5,930,2011,NH4,CT,382863.852107225,0.03985330821713413,15.258391103228494
6,1533,2011,NH4,CT,348981.14718367835,0.1644968531159993,57.40630050852646
7,471,2011,NH4,CT,382477.6393104633,0.007605809666408014,2.9090521262524396
8,2347,2011,NH4,CT,370461.480811878,0.12993292679766616,48.135144467684746
9,270,2011,NH4,CT,374651.7614584761,-0.016531871305553694,-6.193694704830528
10,1211,2011,NH4,CT,373154.05825638084,0.16073687928219976,59.97961881561883
11,3379,2011,NH4,CT,367931.7498433751,0.11986487083631751,44.102091671556444
12,597,2011,NH4,CT,383062.02982484654,0.0014303211082981662,0.5479017070460197
13,1301,2011,NH4,CT,362194.14698191435,0.15157395830759038,54.899200533889946
14,3946,2011,NH4,CT,371783.24282023264,0.11328116654549639,42.1160394487435
15,1974,2011,NH4,CT,358725.2984796768,0.18743221877940927,67.23667862635169
16,3566,2011,NH4,CT,377064.25614866195,0.13168200467909294,49.6525771424868
17,330,2011,NH4,CT,376851.0004062019,-0.01266917122142396,-4.774389849111083
18,1799,2011,NH4,CT,357976.37933639146,0.13710906644107623,49.08180717876921
19,3913,2011,NH4,CT,373338.45542256464,0.09624214150894365,35.93089245750892
20,1615,2011,NH4,CT,368090.06807398226,0.16580094540140874,61.02968127953516
21,1749,2011,NH4,CT,359885.895096584,0.14178296932940118,51.025690826563064
22,37,2011,NH4,CT,390499.1534945736,0.037656076836822816,14.70466612870593
23,1129,2011,NH4,CT,361495.4970050723,0.15713176925883168,56.8024270235077
24,729,2011,NH4,CT,360274.1600693043,0.010249895382655203,3.6927724497843433
25,878,2011,NH4,CT,378588.5799199541,0.0467230988781238,17.688831653728492
26,485,2011,NH4,CT,383731.0329883366,-7.237270692973873e-4,-0.2777165359031079
27,3749,2011,NH4,CT,371949.6889060654,0.12938730387061273,48.12556742306896
28,1826,2011,NH4,CT,356094.48444121913,0.12939158115093244,46.07562838097545
29,2922,2011,NH4,CT,368245.45915657084,0.1471825448036803,54.199303791063805
30,2430,2011,NH4,CT,376411.3922134157,0.13547418133152556,50.99402520397227
31,3673,2011,NH4,CT,373458.4904708554,0.10942284162406327,40.86488925595415
32,975,2011,NH4,CT,378129.39866342663,0.02818981143264341,10.65939644546084
33,2849,2011,NH4,CT,370055.36641458765,0.13695799258050548,50.68204012778533
34,2900,2011,NH4,CT,371713.69494164473,0.124205810667056,46.16900081627374
35,2979,2011,NH4,CT,368367.466107214,0.15445368610065868,56.89571297981865
36,2374,2011,NH4,CT,370706.2959168254,0.13271160392207468,49.197027115133146
37,2378,2011,NH4,CT,369328.0886396183,0.12685162415068987,46.84986788840554
38,554,2011,NH4,CT,384182.61486133153,-0.0050581174467510545,-1.9432407869685422
39,1446,2011,NH4,CT,362821.3053962855,0.1544266166455015,56.0292666392526
40,2159,2011,NH4,CT,367461.499806406,0.12984215914192787,47.71199453639486
41,3476,2011,NH4,CT,371418.44874806236,0.1411965558069224,52.44300572637633
42,1948,2011,NH4,CT,348582.42354328145,0.18060004968323698,62.954003010619786
43,2580,2011,NH4,CT,376230.04276751826,0.15955945723132633,60.0310614181039
44,1530,2011,NH4,CT,360457.0816941468,0.17163866945176726,61.86837389645033
45,2604,2011,NH4,CT,376168.66451446107,0.16626788099100884,62.54476674403715
46,2937,2011,NH4,CT,366811.2862451304,0.15788361544152432,57.91349205713707
47,343,2011,NH4,CT,380328.61379793944,-0.01699779718125644,-6.4647486395657845
48,2630,2011,NH4,CT,368453.54192903196,0.16155732507279394,59.52636864765093
49,3193,2011,NH4,CT,371043.734225547,0.076370697931366055,28.33686894586532
50,40,2011,NH4,CT,387813.9063864626,0.029790008176254094,11.552979442117762
51,3756,2011,NH4,CT,368284.5250820898,0.13601469558107154,50.092107566259955
52,537,2011,NH4,CT,382032.6835792557,-0.0054786457719501426,-2.093021746638256
53,2423,2011,NH4,CT,375168.13505087566,0.1309552141736655,49.130223476722094
54,248,2011,NH4,CT,383915.87383958546,-9.782701532805942e-4,-0.3755734407479045
55,1222,2011,NH4,CT,375369.9305269842,0.16794899751807751,63.043003530437396
56,2426,2011,NH4,CT,374785.14269010443,0.1334984525212113,50.03323657707032
57,2087,2011,NH4,CT,370829.0562339167,0.13727907331154468,50.907069196786786
58,2483,2011,NH4,CT,375183.29134394834,0.14154867717990016,53.10669858973697
59,2858,2011,NH4,CT,372802.39301977097,0.1404515539304306,52.36067540860994
60,1414,2011,NH4,CT,364353.27180890454,0.15437504612350006,56.24705314074779
61,1304,2011,NH4,CT,360926.93938153074,0.1506329957080252,54.367506110768794
62,1696,2011,NH4,CT,362362.77134979167,0.1698681569586377,61.553896119613356
63,526,2011,NH4,CT,384744.42333538097,-0.022728678189110247,-8.744732183044672
64,2690,2011,NH4,CT,370171.55693314783,0.1547580745329073,57.28703739782243
65,1069,2011,NH4,CT,372203.0219936174,0.14283185395882603,53.16244768042608
66,1426,2011,NH4,CT,361041.06773270154,0.1600227188394055,57.77477327126885
67,22,2011,NH4,CT,382883.9248104934,0.0328877452597334,12.592188983214422
68,1742,2011,NH4,CT,363020.62530942506,0.14519370744832588,52.708310468884996
69,1766,2011,NH4,CT,363755.3381303896,0.12705848832171862,46.21820338180291
70,2241,2011,NH4,CT,367308.40546244074,0.1537854430442655,56.486685867924166
71,1395,2011,NH4,CT,369243.620757129,0.14521478458624357,53.61963284809109
72,2547,2011,NH4,CT,376553.3002211491,0.15899215654323315,59.869021255632006
73,1128,2011,NH4,CT,371145.76237920154,0.16379367737673461,60.79132926288114
74,3398,2011,NH4,CT,370291.20953385043,0.11523893566208157,42.671964871705754
75,983,2011,NH4,CT,374823.46243023966,0.029366632022770813,11.007302694689708
76,1791,2011,NH4,CT,361927.32072140253,0.13359278794171595,48.35087980744775
77,1516,2011,NH4,CT,362379.44209233864,0.15583736981033675,56.47225912900729
78,3910,2011,NH4,CT,372972.2873870883,0.09795266377460346,36.53362906367224
79,1640,2011,NH4,CT,368429.41913013015,0.1696915683200966,62.51936594745399
80,1639,2011,NH4,CT,371791.9043213188,0.16552145239291022,61.5395359911906
81,843,2011,NH4,CT,372278.68169651186,0.038878900997467054,14.473786009146234
82,465,2011,NH4,CT,383531.5441615484,0.006542196414622158,2.5091386931081816
83,996,2011,NH4,CT,376317.515883496,0.02780329183973076,10.462865718511356
84,1549,2011,NH4,CT,363038.55334610277,0.1619770343159757,58.80390821336387
85,3880,2011,NH4,CT,364910.00108915573,0.09489387366408748,34.62772354211637
