Year,Analyte,Treatment,Rep,ExpectedIrrigationLabels,MissingIrrigationLabels,n_expected_physical_events,n_observed_event_loads,ObservedIncompleteSubtotal_kg,PlotComplete,ObservedReplicateAnnualLoad_kg
2011,NH4,CT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,NO2,CT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,NO3,CT,1,1;2;3;4;5;6,3;5;6,6,3,0.4732531543299999,False,
2011,OP,CT,1,1;2;3;4;5;6,3;5;6,6,3,0.0123036123199999,False,
2011,Se,CT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,TDS,CT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,TKN,CT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,TN,CT,1,1;2;3;4;5;6,3;5;6,6,3,0.3224801630299999,False,
2011,TP,CT,1,1;2;3;4;5;6,3;5;6,6,3,0.14981446476999988,False,
2011,TSS,CT,1,1;2;3;4;5;6,5;6,6,4,87.7486138632,False,
2011,NH4,CT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,NO2,CT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,NO3,CT,2,1;2;3;4;5;6,3;5;6,6,3,0.1811037004099999,False,
2011,OP,CT,2,1;2;3;4;5;6,3;5;6,6,3,0.0025679929899999,False,
2011,Se,CT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,TDS,CT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,TKN,CT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,TN,CT,2,1;2;3;4;5;6,3;5;6,6,3,0.13136564150999988,False,
2011,TP,CT,2,1;2;3;4;5;6,3;5;6,6,3,0.0667392062999999,False,
2011,TSS,CT,2,1;2;3;4;5;6,,6,6,119.04681057113001,True,119.04681057113001
2011,NH4,MT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,NO2,MT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,NO3,MT,1,1;2;3;4;5;6,3;4;5;6,6,2,0.39113338675,False,
2011,OP,MT,1,1;2;3;4;5;6,3;4;5;6,6,2,0.00348826763,False,
2011,Se,MT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,TDS,MT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,TKN,MT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,TN,MT,1,1;2;3;4;5;6,3;4;5;6,6,2,0.37653284142,False,
2011,TP,MT,1,1;2;3;4;5;6,3;4;5;6,6,2,0.08846466436,False,
2011,TSS,MT,1,1;2;3;4;5;6,4;5;6,6,3,79.16101492472,False,
2011,NH4,MT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,NO2,MT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,NO3,MT,2,1;2;3;4;5;6,1;3;4;5;6,6,1,0.267711951,False,
2011,OP,MT,2,1;2;3;4;5;6,1;3;4;5;6,6,1,0.00850810584,False,
2011,Se,MT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,TDS,MT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,TKN,MT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,TN,MT,2,1;2;3;4;5;6,1;3;4;5;6,6,1,0.1701621167999999,False,
2011,TP,MT,2,1;2;3;4;5;6,1;3;4;5;6,6,1,0.07030189179,False,
2011,TSS,MT,2,1;2;3;4;5;6,1;3;4,6,3,118.86308692200001,False,
2011,NH4,ST,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,NO2,ST,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,NO3,ST,1,1;2;3;4;5;6,2;3;5;6,6,2,0.427351908,False,
2011,OP,ST,1,1;2;3;4;5;6,2;3;5;6,6,2,0.00411162896,False,
2011,Se,ST,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,TDS,ST,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,TKN,ST,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,TN,ST,1,1;2;3;4;5;6,2;3;5;6,6,2,0.2148659002199999,False,
2011,TP,ST,1,1;2;3;4;5;6,2;3;5;6,6,2,0.11197644874000001,False,
2011,TSS,ST,1,1;2;3;4;5;6,2,6,5,181.64780739701,False,
2011,NH4,ST,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,NO2,ST,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,NO3,ST,2,1;2;3;4;5;6,3;5;6,6,3,0.5419485932799998,False,
2011,OP,ST,2,1;2;3;4;5;6,3;5;6,6,3,0.01495413474,False,
2011,Se,ST,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,TDS,ST,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,TKN,ST,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,,False,
2011,TN,ST,2,1;2;3;4;5;6,3;5;6,6,3,0.2895093898399998,False,
2011,TP,ST,2,1;2;3;4;5;6,3;5;6,6,3,0.0828266509499999,False,
2011,TSS,ST,2,1;2;3;4;5;6,,6,6,67.3301241206,True,67.3301241206
2012,NH4,CT,1,1;10;2;3;4;5;6;7;8;9,10;2;4;5;6;7;8;9,10,2,0.0,False,
2012,NO2,CT,1,1;10;2;3;4;5;6;7;8;9,10;2;4;5;6;7;8;9,10,2,0.0,False,
2012,NO3,CT,1,1;10;2;3;4;5;6;7;8;9,10;6;8;9,10,6,0.35219106499999986,False,
2012,OP,CT,1,1;10;2;3;4;5;6;7;8;9,10;6;8;9,10,6,0.0144660489999999,False,
2012,Se,CT,1,1;10;2;3;4;5;6;7;8;9,10;2;4;5;6;7;8;9,10,2,0.0,False,
2012,TDS,CT,1,1;10;2;3;4;5;6;7;8;9,10;2;4;5;6;7;8;9,10,2,0.0,False,
2012,TKN,CT,1,1;10;2;3;4;5;6;7;8;9,10;2;4;5;6;7;8;9,10,2,0.0,False,
