feature,importance_mean,importance_sd
Analyte,60.57997552485386,6.746368110440082
Inflow_Result_mg_L,11.83142512012827,4.701323048923179
RL_mg_L,6.0444159650803755,4.659278735043517
MDL_mg_L,5.24090441065592,3.166277664982429
residue_prop,1.730061956404641,0.2971588437081695
RLMDL_Method,1.4792056730788765,1.731599845803439
DaysUntilHarvest,1.0165573689324077,0.28379905721460125
Volume,0.9829074476445493,0.19030521277328646
DaysSincePlant,0.8517860765990394,0.1662244732285411
MeasureMethod,0.7538141384135092,0.2592175567066984
SampleMethod,0.6940203798040334,0.16387347911785974
CumAll_STIR_toDate,0.6890498135365787,0.23835186792280155
Year,0.6655108688477926,0.21640656482391613
Residue_DryMass_kg_m2,0.659729049030354,0.16710123003675934
Season_STIR_toDate,0.6408419478211265,0.13705275937960007
SeasonYear,0.5710966828082975,0.41244409151599176
DayOfYear,0.561692517480228,0.13232295157379628
Inflow_Volume,0.523100153113307,0.14215427786257956
IrrMethod,0.43897076461755186,0.45821362246299047
Irrigation,0.39489669616655554,0.09232460209468002
Rep,0.3877416101403127,0.08136170870930994
RLMDL_Source,0.35581275015982694,0.20242956986457605
Crop,0.34904487782877963,0.15091495324775073
previous_crop,0.3488748984428126,0.2162368687280295
Treatment,0.3154883980811809,0.11586585939714283
FF,0.2611676632656221,0.06319627744839412
RLMDL_Assumed,0.24916995147140955,0.2411248612816138
Lab,0.24552109872170297,0.09129679685080566
TSSMethod,0.20567903145403654,0.15339491751091125
Duplicate,0.20285876237494532,0.08691333758882026
Inflow_Flag,0.1720696025855871,0.07419913205224254
FlumeMethod,0.1683111922725043,0.05984844494783233
FurrowTireCompaction,0.15794216599216576,0.08628186015982568
Composite,0.1576888496683462,0.08088459699728763
Flag,0.07266659252358568,0.022330320354576313
