PhysicalEventID,Year,Irrigation,Rep,Treatment,EventDate,VolumeObservationID,FurrowTireCompaction,RepScope,AnchorDate,AnchorOperation,Timing,DateStatus,ProvenanceNote,CompactionExposureSource,n_genuine_volume_observations,has_genuine_volume_observation
PE_003510690d55f2e080ab,2015,2,2,CT,2015-07-21,VO_cd3b1c5d251c27ed3ea4,0,,,,,,,unlisted_default_zero,1,True
PE_007bf9724431b43650d7,2025,7,1,ST,2025-09-15,VO_0f5153ce4fa137d73df5,1,both,2025-06-24,Clean and pack furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,2,True
PE_00b38906ec1907c7d0dc,2024,4,1,ST,2024-06-20,VO_33af0b5d88cce691de07,1,both,,Unlogged pre-irrigation tractor pass,after_residue_before_first_runoff,user_confirmed_before_first_runoff,user-confirmed MT and ST compaction with no logged anchor date,furrow_tire_compaction_records.csv,1,True
PE_01024210b88310ac1815,2025,6,1,CT,2025-09-03,VO_0a0b0bf045f3d2f6b319,0,,,,,,,unlisted_default_zero,2,True
PE_01dfb8394999c3a08b1b,2015,5,2,CT,2015-08-17,VO_cc82dde01f76622208d1,0,,,,,,,unlisted_default_zero,1,True
PE_01ea2f88880fff50efcb,2012,1,2,MT,2012-05-16,,0,,,,,,,unlisted_default_zero,0,False
PE_01ef9362ba3276afc3a9,2017,2,1,MT,2017-07-09,VO_dc76b3fd137fe1478e2e,0,,,,,,,unlisted_default_zero,1,True
PE_02b42436b7981ca07571,2024,4,2,MT,2024-06-20,VO_d8212d7c3da8ad31af56,1,both,,Unlogged pre-irrigation tractor pass,after_residue_before_first_runoff,user_confirmed_before_first_runoff,user-confirmed MT and ST compaction with no logged anchor date,furrow_tire_compaction_records.csv,1,True
PE_0373cedd6c6b07cdac38,2025,3,1,ST,2025-07-31,VO_dd2eef21e1fcdd558309,1,both,2025-06-24,Clean and pack furrows,after_residue_before_first_runoff,logged_operational_anchor,user-confirmed MT and ST follow-on tractor pass,furrow_tire_compaction_records.csv,2,True
PE_041660a509b242990967,2018,3,2,MT,2018-07-23,,0,,,,,,,unlisted_default_zero,0,False
