Method,Scenario,Analyte,ComparisonTreatment,absolute_mean_kg,absolute_median_kg,absolute_lower_95_kg,absolute_upper_95_kg,n_absolute_draws,n_total_draws,n_valid_percent_draws,probability_treatment_lower_than_ct,n_invalid_percent_draws,fraction_invalid_percent_draws,definition,PointPercentDifference,primary_center_type,primary_center_within_draw_interval,Central_95_interval_percent
Bayes,model_only,TN,MT,2.2653292946829,2.2159503656582604,-0.8023660454312521,5.738489097439837,1500,1500,1500,0.914,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,posterior_median,True,"14.28 (-5.471, 32.65)"
Bayes,model_only,TN,ST,2.5734300155226504,2.4561186625277207,-0.4164119704768648,6.024019514037187,1500,1500,1500,0.9493333333333334,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,posterior_median,True,"15.91 (-2.773, 34.58)"
Bayes,model_only,TP,MT,-0.21728555511317316,-0.24444445266043616,-0.8753480075347827,0.5802663422018577,1500,1500,1500,0.23733333333333334,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,posterior_median,True,"-15.66 (-103.2, 21.15)"
Bayes,model_only,TP,ST,0.04964927335002678,0.0184510091291894,-0.5729200317663166,0.7917574823750546,1500,1500,1500,0.518,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,posterior_median,True,"1.086 (-49.14, 33.05)"
Bayes,model_only,TSS,MT,475.3350785111653,427.67837011631195,-210.57445820430416,1360.3604517048577,1500,1500,1500,0.906,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,posterior_median,True,"19.49 (-14.36, 43.03)"
Bayes,model_only,TSS,ST,629.866847381401,594.7113941880176,-21.02804646036464,1488.5631035852405,1500,1500,1500,0.9706666666666667,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,posterior_median,True,"26.02 (-0.9785, 51.61)"
ML,full_record_model_only,TN,MT,3.8934063900148774,3.7140620256693495,1.064682376524722,7.709416287160715,2000,2000,2000,0.9955,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",40.9624374339941,mean_of_replicate_annual_plot_totals,True,"40.96 (13.28, 60.61)"
ML,full_record_model_only,TN,ST,4.13298595175914,3.9150077748115146,1.4710000309777815,7.892345093792219,2000,2000,2000,0.9975,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",43.65944825241253,mean_of_replicate_annual_plot_totals,True,"43.66 (18.18, 62.09)"
ML,full_record_model_only,TP,MT,-0.04151701970755624,0.038867646202877415,-2.1283097446013013,1.330372254392477,2000,2000,2000,0.5305,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",-4.7995142247121345,mean_of_replicate_annual_plot_totals,True,"-4.8 (-89.52, 38.99)"
ML,full_record_model_only,TP,ST,0.15083524937351675,0.15803017892663362,-1.2052251638263043,1.5329593456318789,2000,2000,2000,0.6185,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",2.9450397290887405,mean_of_replicate_annual_plot_totals,True,"2.945 (-55.7, 43.86)"
ML,full_record_model_only,TSS,MT,1175.2841068060761,1155.7211350059874,-419.9568343222458,2721.9062413742913,2000,2000,2000,0.9565,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",35.36220367713677,mean_of_replicate_annual_plot_totals,True,"35.36 (-14.28, 60.86)"
ML,full_record_model_only,TSS,ST,1173.142262711331,1132.1040521229745,-37.683748823172614,2691.3004602993983,2000,2000,2000,0.9725,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",35.438440424098,mean_of_replicate_annual_plot_totals,True,"35.44 (-1.46, 60.07)"
