output_file,column,definition,unit,calculation,source
input_audit.csv,input_label,Input label.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,exact_path,Exact path.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,file_size_bytes,File size bytes.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,sha256,Sha256.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,modification_time_local,Modification time local.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,columns,Columns.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,inferred_units,Inferred units.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,n_rows,N rows.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,first_year,First year.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,last_year,Last year.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,n_unique_years,N unique years.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,unique_years,Unique years.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,treatments,Treatments.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,analytes,Analytes.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,analyte_alias_mapping,Analyte alias mapping.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,draw_identifier_column,Draw identifier column.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,n_unique_draws,N unique draws.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,annual_key,Annual key.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,n_year_analyte_treatment_combinations,N year analyte treatment combinations.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,missing_values_required_fields,Missing values required fields.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,nonfinite_values_required_fields,Nonfinite values required fields.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
input_audit.csv,duplicate_key_rows,Duplicate key rows.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
